Gene ID/title,logFC,adj.P.Val,"LEC control, rep1","LEC control, rep2","LEC control, rep3","LEC control, rep4","LEC control, rep5","LEC control, rep6","LEC KSHV 72h, rep1","LEC KSHV 72h, rep2","LEC KSHV 72h, rep3","LEC KSHV 72h, rep4","LEC KSHV 72h, rep5","LEC KSHV 72h, rep6"
284018,-0.67249,0.000016225,8.8329,8.6895,8.8688,8.4486,8.2627,8.5135,7.8651,7.8820,7.9247,7.9009,8.0274,7.9810
55752,-0.42141,0.000016442,8.5194,8.4163,8.4395,8.4596,8.4470,8.5940,7.9689,7.9044,8.1848,8.0596,8.0564,8.1734
2873,-0.30549,0.000016442,8.8724,8.7803,8.8970,8.8607,8.8210,8.8501,8.4851,8.5829,8.5026,8.5704,8.5416,8.5660
51493,-0.31522,0.000016477,10.851,10.775,10.848,10.826,10.780,10.772,10.551,10.529,10.527,10.453,10.411,10.491
5437,-0.37086,0.000016479,9.8889,9.8509,9.8661,9.8793,9.8355,9.7527,9.4220,9.4010,9.3700,9.5151,9.5672,9.5731
693221///6427,-0.36443,0.000016817,11.298,11.235,11.351,11.265,11.145,11.120,10.919,10.863,10.891,10.798,10.870,10.886
727956///440993///255812,-0.45647,0.000016883,8.4587,8.4356,8.2808,8.2659,8.1701,8.3369,7.9148,7.7745,7.8717,7.9031,8.0066,7.7386
84311,-0.48424,0.000017186,9.6493,9.6643,9.6451,9.5034,9.5160,9.3296,9.1360,9.1096,8.9975,8.9128,9.0799,9.1665
1031,-0.43794,0.000017261,8.1652,8.3388,8.2869,8.3219,8.2693,8.0489,7.8159,7.6774,7.9085,7.8347,7.8329,7.7340
3397,-0.72684,0.000017350,11.964,11.841,11.982,11.959,12.034,11.893,11.344,10.925,10.877,11.381,11.524,11.260
100616459///5725,-0.41790,0.000017651,11.005,10.997,11.056,11.026,10.996,10.954,10.545,10.470,10.441,10.727,10.725,10.619
23597,0.43240,0.000017651,10.564,10.704,10.657,10.574,10.631,10.568,11.123,11.196,11.129,10.867,10.958,11.019
1434,-0.34671,0.000017684,9.4947,9.3971,9.4578,9.5456,9.5339,9.4929,9.1814,9.0239,9.0912,9.1718,9.2117,9.1616
50865,-0.46219,0.000018012,11.165,11.224,11.128,10.953,10.977,10.937,10.662,10.697,10.590,10.448,10.636,10.577
7832,-0.44975,0.000018062,8.3578,8.3285,8.3466,8.3196,8.2865,8.2377,7.7044,7.7237,7.7916,7.9869,7.9800,7.9917
84717,-0.46586,0.000018153,8.6333,8.5564,8.7239,8.6306,8.6223,8.3167,8.1557,8.1530,8.0725,8.0405,8.1969,8.0695
100287852///84908,-0.41235,0.000018336,9.1787,9.0950,9.1008,9.3032,9.2145,9.0385,8.7135,8.7496,8.7097,8.8267,8.8380,8.6192
5356,-0.40824,0.000018417,8.5025,8.2959,8.3429,8.3599,8.2576,8.2217,7.9649,7.9052,8.0274,7.8565,7.8240,7.9530
101929500///51232,-0.36201,0.000018465,10.761,10.679,10.859,10.784,10.847,10.746,10.412,10.329,10.529,10.359,10.464,10.411
3791,0.51739,0.000018734,10.132,10.011,10.064,10.142,9.9799,9.8344,10.656,10.382,10.743,10.500,10.428,10.558
3376,-0.41765,0.000018743,11.201,11.349,11.401,11.347,11.400,11.434,11.052,10.823,10.886,11.046,10.972,10.848
30000,-0.36666,0.000018743,8.0770,8.2351,8.1701,8.1739,8.0915,8.3142,7.7942,7.8289,7.7524,7.8949,7.8090,7.7824
8220,-0.66993,0.000018945,8.2983,8.6143,8.4878,8.3092,8.3937,8.4255,7.9107,8.0555,7.5885,7.6342,7.8352,7.4853
701,-0.80750,0.000018948,9.2216,9.1031,9.3840,9.4682,9.4711,9.2208,8.3381,8.1095,8.4186,8.7910,8.7795,8.5871
101180901///51194,0.41088,0.000018971,9.3918,9.2234,9.1895,9.2769,9.3119,9.4632,9.6612,9.7016,9.6837,9.7102,9.8638,9.7016
5214,-0.31087,0.000019029,9.1065,9.0428,9.0048,9.0895,9.0932,9.0513,8.7113,8.7106,8.7164,8.8417,8.7835,8.7592
9289,0.41920,0.000019075,9.8675,9.8274,9.9056,10.072,9.9595,9.7124,10.247,10.289,10.368,10.333,10.273,10.350
7528,-0.30693,0.000019230,8.9687,8.9132,8.9501,9.0387,8.9875,9.0352,8.6102,8.6955,8.7181,8.6626,8.6656,8.6997
3910,0.52254,0.000019708,7.9944,7.9526,8.0298,7.8509,7.8814,8.2533,8.5634,8.6523,8.5582,8.3824,8.3769,8.5643
6192,-0.34086,0.000019709,12.304,12.240,12.286,12.249,12.132,12.117,11.843,11.906,11.832,11.877,11.924,11.900
730029///653162///574040///388524///6044///3921,-0.37186,0.000019752,13.365,13.303,13.325,13.338,13.322,13.355,12.902,12.892,12.831,13.064,13.087,13.001
51042,-0.39972,0.000019864,8.1433,8.3102,8.1733,8.3933,8.2093,8.2304,7.8750,7.7555,7.7480,7.8528,7.9467,7.8835
79142,-0.33974,0.000020400,9.3139,9.3902,9.3212,9.4529,9.3192,9.4771,9.0919,9.0195,8.9685,9.0161,9.0517,9.0882
5831,-0.55071,0.000020400,8.9168,8.9475,9.1482,8.7974,8.8322,8.5580,8.3081,8.3341,8.3141,8.3099,8.2848,8.3450
1203,0.46756,0.000020564,8.0969,7.8877,7.9001,7.9592,7.8463,7.6975,8.4308,8.2893,8.4394,8.2929,8.2824,8.4584
4855,0.44835,0.000020851,7.8011,7.9915,7.7917,7.9166,7.7485,7.8772,8.3258,8.3867,8.4569,8.1753,8.1623,8.3096
6578,-0.74580,0.000021129,8.7621,8.6627,8.7526,8.4297,8.3175,8.4805,7.7094,8.0713,8.0244,7.5749,7.6156,7.9346
10955,0.38061,0.000021218,10.173,10.347,10.239,10.199,10.160,10.360,10.696,10.691,10.652,10.520,10.568,10.635
7743,-0.39787,0.000021532,8.8841,8.8254,8.8775,8.7233,8.7883,8.7744,8.3701,8.5946,8.4610,8.4024,8.2893,8.3682
1892,-0.33952,0.000021870,10.876,10.831,10.853,10.892,10.862,10.729,10.474,10.559,10.535,10.382,10.547,10.510
54512,0.42973,0.000021870,8.1909,8.0910,8.0232,8.1260,8.0123,7.9279,8.5373,8.4613,8.3275,8.5269,8.6358,8.4609
891,-1.1246,0.000022316,8.7434,8.1702,8.6785,8.9866,9.0565,9.1903,7.7042,7.2801,7.4626,7.8178,7.9372,7.8759
55165,-0.75342,0.000022444,9.4979,9.4039,9.4077,9.8477,9.7732,9.7125,8.9201,8.4614,8.7689,9.0201,9.0247,8.9273
94239,-0.31885,0.000022633,9.4421,9.3400,9.3766,9.4780,9.4255,9.3555,9.0513,9.0015,9.0733,9.1262,9.1224,9.1300
8801,-0.31037,0.000022666,8.1519,8.1819,8.1444,8.1082,8.2415,8.0684,7.8725,7.7897,7.8082,7.8660,7.8600,7.8375
6197,0.33273,0.000022756,8.5895,8.5433,8.5555,8.5649,8.6107,8.7028,8.9847,8.9287,8.9937,8.9450,8.8441,8.8668
5937,0.35258,0.000023200,10.212,10.276,10.208,10.317,10.201,10.107,10.584,10.475,10.526,10.654,10.629,10.568
84899,0.37858,0.000024273,7.8965,7.7384,7.7465,7.7277,7.7114,7.7042,8.1262,8.1282,8.2254,7.9934,8.0938,8.2291
51690,-0.37179,0.000024273,10.659,10.617,10.531,10.636,10.552,10.438,10.215,10.209,10.093,10.196,10.318,10.172
100996696///8761,-0.41544,0.000024428,11.173,11.108,11.118,10.981,11.029,10.920,10.710,10.709,10.742,10.508,10.593,10.573
5693,-0.32363,0.000024871,11.816,11.824,11.839,11.808,11.796,11.688,11.552,11.516,11.410,11.404,11.487,11.461
64208,0.95814,0.000025045,7.6517,7.3206,7.1593,8.1202,7.6228,7.1556,8.5781,8.3392,8.4071,8.4798,8.4427,8.5321
23534,-0.30485,0.000025273,8.5638,8.6632,8.5347,8.6358,8.6189,8.6603,8.3306,8.3144,8.2494,8.3691,8.2818,8.3023
51021,-0.33509,0.000025273,8.8195,8.7460,8.8147,8.9301,8.8733,8.8219,8.5412,8.4183,8.4435,8.4922,8.5113,8.5885
10857,-0.35933,0.000025407,10.243,10.178,10.133,10.044,10.041,10.088,9.8438,9.8103,9.6850,9.6921,9.7426,9.7984
64710,-0.47552,0.000025425,9.7107,10.003,9.9902,10.147,10.075,10.050,9.5432,9.4256,9.4590,9.6044,9.5709,9.5203
65008,-0.41026,0.000025772,9.1955,9.0169,8.9887,9.1300,9.1507,9.2159,8.8041,8.5753,8.6778,8.7499,8.7981,8.6309
4733,-0.30271,0.000025872,10.457,10.487,10.551,10.443,10.477,10.487,10.251,10.171,10.105,10.165,10.236,10.159
201595,-0.44361,0.000026093,10.491,10.386,10.609,10.650,10.589,10.698,10.137,9.9506,10.209,10.222,10.124,10.119
23764,0.33705,0.000026094,9.1712,9.1436,9.1809,9.2248,9.2504,9.1071,9.5519,9.3785,9.5084,9.5742,9.5734,9.5140
57122,-0.37141,0.000026124,9.1645,9.1630,9.2548,9.2905,9.2937,9.2011,8.8136,8.8165,8.7085,8.9248,8.9526,8.9230
53827,0.36864,0.000026219,11.239,11.269,11.220,11.298,11.212,11.449,11.625,11.616,11.554,11.673,11.690,11.740
10105,-0.43810,0.000026840,8.9159,8.6194,8.7027,8.8509,8.8623,8.6052,8.3886,8.3056,8.2238,8.2914,8.3796,8.3388
7347,-0.47330,0.000026840,10.467,10.390,10.364,10.655,10.507,10.530,10.035,9.9012,9.8660,10.123,10.191,9.9570
347862,-0.49133,0.000027085,8.5047,8.5663,8.4749,8.4073,8.4277,8.4333,8.0376,8.1875,7.8437,7.9107,8.1197,7.7671
23555,0.84350,0.000027286,9.2500,8.9565,9.2590,8.9386,8.8241,9.0794,9.9568,10.036,10.332,9.5675,9.6096,9.8670
25875,-0.51230,0.000027407,8.5956,8.3623,8.5147,8.3173,8.3890,8.1080,7.9654,7.8969,7.9241,7.7713,7.7967,7.8587
29855,-0.36857,0.000027407,8.6530,8.4748,8.6255,8.4834,8.5690,8.3796,8.1587,8.1216,8.1886,8.1882,8.1124,8.2045
196527,0.31817,0.000027518,8.0681,8.0545,8.1084,8.0198,8.0390,8.1968,8.3545,8.4065,8.4317,8.3669,8.3656,8.4705
54977,-0.40014,0.000027633,9.0788,8.8821,9.0004,8.8872,9.0351,8.7810,8.5401,8.4749,8.5688,8.4903,8.5424,8.6473
10434,0.53857,0.000027667,10.175,10.077,10.159,10.440,10.326,10.347,10.729,10.580,10.805,10.930,10.965,10.746
10573,-0.46162,0.000027751,9.3411,9.5127,9.4429,9.4204,9.3054,9.2489,8.9781,9.0498,8.7139,8.8990,9.0247,8.8361
10101,-0.33668,0.000027762,8.8114,8.7484,8.8176,8.7764,8.7575,8.7524,8.3956,8.4435,8.3117,8.5575,8.5078,8.4276
