Gene ID/title,logFC,adj.P.Val,"LEC control, rep1","LEC KSHV 72h, rep1","LEC control, rep2","LEC KSHV 72h, rep2","LEC control, rep3","LEC KSHV 72h, rep3","LEC control, rep4","LEC KSHV 72h, rep4","LEC control, rep5","LEC KSHV 72h, rep5","LEC control, rep6","LEC KSHV 72h, rep6"
79594,0.19921,0.0050083,8.4835,8.8028,8.3630,8.7284,8.4919,8.6068,8.4398,8.5988,8.5250,8.5391,8.4260,8.6486
23367,-0.21524,0.0050196,8.6027,8.5497,8.7147,8.5730,8.8875,8.5185,8.8699,8.6208,8.6846,8.5570,8.8922,8.5411
10914,-0.17681,0.0050362,8.3002,8.1171,8.1281,7.9960,8.2338,8.1131,8.2042,7.9797,8.2177,7.9846,8.2477,8.0804
26086,-0.19718,0.0051049,8.1317,7.8921,8.2744,7.9372,8.1634,7.8999,8.0564,7.9440,7.9777,7.8687,8.0301,7.9087
5654,-0.39858,0.0051196,10.481,9.8342,10.351,10.080,10.458,10.066,10.142,9.6104,10.100,9.6424,9.9596,9.8681
2580,0.21201,0.0051205,7.8569,8.0237,8.0421,8.0755,7.9357,8.1664,7.8547,8.0260,7.8488,8.0548,7.7456,8.2094
1471,0.23834,0.0051212,8.0499,8.0183,7.8345,8.2426,8.0741,8.3257,7.9718,8.2091,7.9230,8.0996,7.8215,8.2096
26121,-0.18761,0.0051212,8.0901,8.0051,8.2070,7.9733,8.1173,7.7974,8.1836,8.0331,8.1862,8.0209,8.1112,7.9398
7532,0.17507,0.0051455,12.004,12.189,11.964,12.156,12.002,12.209,12.110,12.214,12.092,12.315,12.111,12.252
1611,0.23916,0.0051619,10.126,10.129,9.8464,10.168,10.006,10.320,10.119,10.199,9.9513,10.179,9.8145,10.303
55182,-0.17715,0.0051619,8.9869,8.6551,8.8680,8.6975,8.8050,8.6964,8.8189,8.5922,8.8002,8.6468,8.7889,8.7170
1635,-0.21309,0.0051765,9.9696,9.6617,9.8216,9.6007,9.8397,9.6317,9.8063,9.5128,9.7869,9.5418,9.6128,9.6096
5925,0.27989,0.0051981,8.0896,8.4124,7.8745,8.1337,7.9404,8.3691,7.9541,8.2752,7.9751,8.3218,8.3316,8.3325
29088,0.20683,0.0052097,10.565,10.901,10.612,10.857,10.566,10.755,10.727,10.829,10.685,11.012,10.723,10.765
